title,domain,category
Vlogs & Personal Stories,Video Platforms,Lifestyle
Travel & Adventure Logs,Video Platforms,Lifestyle
Cooking & Culinary Shows,Video Platforms,Lifestyle
Art & Craft Tutorials,Video Platforms,Lifestyle
Dance & Choreography,Video Platforms,Lifestyle
Gameplays & Walkthroughs,Video Platforms,Gaming
Game Reviews & Analysis,Video Platforms,Gaming
Live Streaming & Esports,Video Platforms,Gaming
Game Development & Tutorials,Video Platforms,Gaming
Sports Highlights & Recaps,Video Platforms,Sports & Fitness
Live Sports Streaming,Video Platforms,Sports & Fitness
Fitness & Workout Tutorials,Video Platforms,Sports & Fitness
Sports Analysis & Commentary,Video Platforms,Sports & Fitness
Gadget Unboxings & Reviews,Video Platforms,Tech & Gadgets
Tech News & Updates,Video Platforms,Tech & Gadgets
Coding & Programming Streams,Video Platforms,Tech & Gadgets
Tech Event Coverage & Launches,Video Platforms,Tech & Gadgets
Children’s Songs & Rhymes,Video Platforms,Children & Family
Animated Stories & Shows,Video Platforms,Children & Family
DIY Crafts for Kids,Video Platforms,Children & Family
Educational Content for Kids,Video Platforms,Children & Family
Sociopolitical Commentaries & Debates,Video Platforms,Culture & Society
Cultural Shows & Traditional Arts,Video Platforms,Culture & Society
Religious & Spiritual Content,Video Platforms,Culture & Society
Social Issues & Activism,Video Platforms,Culture & Society
Unboxing & Hauls,Video Platforms,Miscellaneous
ASMR & Relaxation,Video Platforms,Miscellaneous
Pets & Animals Content,Video Platforms,Miscellaneous
Challenges & Viral Trends,Video Platforms,Miscellaneous
Memes & Parodies,Video Platforms,Miscellaneous
Others,Video Platforms,Miscellaneous
